Trait Name,Type,Category,Prerequisite(s),PFS Legal,Description,Source,Version
Naturally Gifted,Race,,,Yes,"For unknown reasons, you have deeper reserves of magical energy than those around you. Perhaps you are descended from a family of powerful arcane casters, or maybe you believe this trait marks you as destined for magical greatness. Wherever the truth lies, you gain an additional use of one of your gnome magic spell-like abilities each day. This does not always have to be the same spell-like ability—one day you might use dancing lights twice, only to use the additional casting for speak with animals the next day.",PCo:GoG,
Nightstall Urchin,Regional,,From Katapesh,,"You grew up an orphan on the streets of Katapesh, and spent many years of childhood in the Nightstalls, Katapesh’s most infamous market. The strange and often horrific sights you saw there forced you to grow up fast—there’s little that can shock or unsettle you. You gain a +2 trait bonus on saves against fear effects, and when you do make a successful save against a fear effect, the resulting rush of bravado grants you a +1 trait bonus on attack rolls and all skill checks for the next minute.",PCo:LoFPG,3.5e
Noble Born (Garess),Campaign,,,,"You claim a tangential but legitimate connection to one of Brevoy’s noble families. If you aren’t human, you were likely adopted by one of Brevoy’s nobles or were instead a favored servant or even a childhood friend of a noble scion. Whatever the cause, you’ve had a comfortable life, but one far from the dignity and decadence your distant cousins know. Although you are associated with an esteemed name, your immediate family is hardly well to do, and you’ve found your name to be more of a burden to you than a boon in many social situations. You’ve recently decided to test yourself, to see if you can face the world without the aegis of a name you have little real claim or care for. An expedition into the storied Stolen Lands seems like just the test to see if you really are worth the title “noble.” Your family’s long association with the dwarves of the Golushkin Mountains has left its mark. You ignore the movement penalty for the first 5 feet of rocky difficult terrain you move through per round. This applies only to terrain made difficult by rocks or ruins.  Your family motto is “Strong as the Mountains.” You gain a +2 trait bonus on Appraise checks to assess the value of natural stones or metals.",PAP:KMPG,PFRPG
Noble Born (Lebeda),,,,,"You claim a tangential but legitimate connection to one of Brevoy’s noble families. If you aren’t human, you were likely adopted by one of Brevoy’s nobles or were instead a favored servant or even a childhood friend of a noble scion. Whatever the cause, you’ve had a comfortable life, but one far from the dignity and decadence your distant cousins know. Although you are associated with an esteemed name, your immediate family is hardly well to do, and you’ve found your name to be more of a burden to you than a boon in many social situations. You’ve recently decided to test yourself, to see if you can face the world without the aegis of a name you have little real claim or care for. An expedition into the storied Stolen Lands seems like just the test to see if you really are worth the title “noble.” Your family’s long association with the dwarves of the Golushkin Mountains has left its mark. You ignore the movement penalty for the first 5 feet of rocky difficult terrain you move through per round. This applies only to terrain made difficult by rocks or ruins.  Your family’s history of trading along the shores of Lake Reykal pervades your blood.  Your family motto is “Success through Grace.” You gain a bonus language: Dwarven, Elven, Hallit, Gnome, Giant, Halfling, Skald, or Sylvan.",,
Noble Born (Lodovka),,,,,"You claim a tangential but legitimate connection to one of Brevoy’s noble families. If you aren’t human, you were likely adopted by one of Brevoy’s nobles or were instead a favored servant or even a childhood friend of a noble scion. Whatever the cause, you’ve had a comfortable life, but one far from the dignity and decadence your distant cousins know. Although you are associated with an esteemed name, your immediate family is hardly well to do, and you’ve found your name to be more of a burden to you than a boon in many social situations. You’ve recently decided to test yourself, to see if you can face the world without the aegis of a name you have little real claim or care for. An expedition into the storied Stolen Lands seems like just the test to see if you really are worth the title “noble.” Your family has made a living off the coasts of the Lake of Mists and Veils since before Brevoy existed.  Your family motto is “The Waters, Our Fields.” You gain a +1 trait bonus on Swim checks, and Swim is always treated as a class skill for you.",,
Noble Born (Medvyed),,,,,"You claim a tangential but legitimate connection to one of Brevoy’s noble families. If you aren’t human, you were likely adopted by one of Brevoy’s nobles or were instead a favored servant or even a childhood friend of a noble scion. Whatever the cause, you’ve had a comfortable life, but one far from the dignity and decadence your distant cousins know. Although you are associated with an esteemed name, your immediate family is hardly well to do, and you’ve found your name to be more of a burden to you than a boon in many social situations. You’ve recently decided to test yourself, to see if you can face the world without the aegis of a name you have little real claim or care for. An expedition into the storied Stolen Lands seems like just the test to see if you really are worth the title “noble.” Your family has long a deep respect for the wilderness and is superstitious about the creatures that dwell therein.  Your family motto is “Endurance Overcomes All.” You gain a +2 trait bonus on all Diplomacy checks made to deal with fey creatures and a +1 trait bonus on Will saves made against their spells and supernatural abilities.",,
Noble Born (Orlovsky),,,,,"You claim a tangential but legitimate connection to one of Brevoy’s noble families. If you aren’t human, you were likely adopted by one of Brevoy’s nobles or were instead a favored servant or even a childhood friend of a noble scion. Whatever the cause, you’ve had a comfortable life, but one far from the dignity and decadence your distant cousins know. Although you are associated with an esteemed name, your immediate family is hardly well to do, and you’ve found your name to be more of a burden to you than a boon in many social situations. You’ve recently decided to test yourself, to see if you can face the world without the aegis of a name you have little real claim or care for. An expedition into the storied Stolen Lands seems like just the test to see if you really are worth the title “noble.” Your family has a reputation for avoiding conflicts. Your family motto is “High Above.” You gain a +1 trait bonus on your CMD. In addition, choose Acrobatics, Diplomacy, or Stealth—you gain a +1 trait bonus on this skill.",,
Noble Born (Surtova),Campaign,,,,"You claim a tangential but legitimate connection to one of Brevoy’s noble families. If you aren’t human, you were likely adopted by one of Brevoy’s nobles or were instead a favored servant or even a childhood friend of a noble scion. Whatever the cause, you’ve had a comfortable life, but one far from the dignity and decadence your distant cousins know. Although you are associated with an esteemed name, your immediate family is hardly well to do, and you’ve found your name to be more of a burden to you than a boon in many social situations. You’ve recently decided to test yourself, to see if you can face the world without the aegis of a name you have little real claim or care for. An expedition into the storied Stolen Lands seems like just the test to see if you really are worth the title “noble.” Your family is well known for their political agility and scheming natures. Your family motto is “Ours is the Right.” You deal +2 damage when attacking a flat-footed opponent while wielding a light or one-handed weapon.",,
Nonchalant Thuggery ,Basic,,,,You are adept at keeping witnesses from noticing that anything is wrong. You gain a +4 trait bonus on Bluff checks to keep others from noticing your aggressive actions.,PCo:CEoD,PFRPG
Observant,Faction,,,,"Sometimes it helps to pay attention to your surroundings  and  the  people  you  meet.  Choose  either Perception or Sense Motive. You gain a +1 trait bonus on all related checks, and the chosen skill is always a class skill for you.",PCo:GtPSOP,
Optimistic Gambler,Campaign,,,,"You’ve always seemed to have trouble keeping money. Worse, you always seem to have debts looming over your head. When you heard about the “Cheat the Devil and Take His Gold” gambling tournament, you felt in your gut that your luck was about to change. You’ve always been optimistic, in fact, and even though right now is one of those rare times where you don’t owe anyone any money (you just paid off a recent loan from local moneylender Lymas Smeed), you know that’ll change soon enough. Better to start amassing money now when you’re at one of those rare windfall times! You’ve set aside a gold coin for the entrance fee, and look forward to making it big—you can feel it in your bones! This time’s gonna be the big one! Your boundless optimism, even in the face of crushing situations, has always bolstered your spirit. Effects that grant you morale bonuses persist 1d4 rounds longer than they normally would as a result.",PCo:SD,3.5e
Outcast,Race,,,,"Driven from town after town because of your heritage, you have become adept at living apart from others. You gain a +1 trait bonus on Survival skill checks, and Survival is always a class skill for you.",,
Patient Optimist,Religion,,"Follower of Desna, Erastil",,"As a worshiper of a good and kindly god, you know that Asmodeus’ dominion over Cheliax will pass in time, and are used to having to repeat arguments multiple times to convince even the most stubborn believer. You gain a +2 trait bonus on Diplomacy checks to influence hostile or unfriendly creatures, and if you fail at such an attempt you may retry it once.",PCo:CEoD,PFRPG
Performance Artist,Faction,,,,"As a youth, you studied in the avant garde theatre scene of Oppara. Your performance skills have been known to bring even the toughest crowd to their feet. Choose one type of Perform skill. You gain a +1 trait bonus on related Perform skill checks. This bonus increases to +5 when using that Perform skill to make money.",PCo:GtPSOP,
Perseverance,Regional,,Dwarf race (from Five Kings Mountains),,"In time, any obstacle can be endured and overcome. When you have more than 1 Will saving throw to overcome an effect (such as greater command, hold person, or by using the good fortune ability of the Luck domain), you receive a +3 trait bonus on the extra Will saves against that effect.",PCo:DoG,PFRPG
Pesh Addict,Regional,,From Katapesh,,"You spent several of your teenaged years addicted to pesh, a habit that you may or may not have kicked. Certainly, the habit consumed much of your savings. You start with only half of the normal starting cash as a result, but your knowledge of the pesh addict lifestyle grants you a +1 trait bonus on Bluff, Knowledge (local), and Sense Motive checks. One of these skills (your choice) is always a class skill for you.",PCo:LoFPG,3.5e
Pesh Dealer,Regional,,From Katapesh,,"You worked for a pesh dealer, either by selling the drug on the street or helping to organize shipments to other regions, which involved a certain amount of smuggling. You gain a +1 trait bonus on Sleight of Hand checks, and Sleight of Hand is always a class skill for you.",PCo:LoFPG,3.5e
Pesh Drug Addict (addicted friend),Campaign,,,,The addict is a friend or lover who might or might not have survived the overdose. Your research into the drug scene and local politics has given you a respectable education in street knowledge. You gain a +2 bonus on Knowledge (local) checks or Diplomacy (gather information) checks (choose one when selecting this trait).,PAP:CotCTPG,
Pesh Drug Addict (personal addiction),Campaign,,,,"You were the addict. You blame Gaedren for your brush with death and hate how his drugs are causing similar problems among other youths. Fortunately, your body recovers quickly from toxins, and you gain a +1 bonus on Fortitude saving throws.",PAP:CotCTPG,
Pioneer,Campaign,,,,"You have long lived along the southern border of Brevoy, in the shadow of wilderness known as the Stolen Lands. Life has been hard, but through hunting, trapping, trading, and coaxing crops from the freezing earth, you’ve learned how to survive on the rugged frontier. With the wilderness ever at your door, you’ve also learned much about its denizens and the wild creatures that lurk in that unwholesome land. Your family might even claim holdings in the Stolen Lands, with elders telling stories of being driven from or robbed of a lost ancestral homestead, fertile farmlands, bountiful orchards, or a hidden mining claim. Whether because of your personal expertise and familiarity with the borderlands or in order to reclaim your family’s land, you’ve joined the expedition into the Stolen Lands. You begin play with a horse. Also, choose one of the following skills: Climb, Handle Animal, Knowledge (nature), Perception, Ride, Survival, or Swim—you gain a +1 trait bonus on this skill.",PAP:KMPG,PFRPG
Poverty-Stricken,Basic,,,,"Your childhood was tough, and your parents had to make every copper piece count. Hunger was your constant companion, and you often had to live off the land or sleep in the wild. You gain a +1 bonus to Survival checks, and Survival is always a class skill for you.",P:CTWE,PFRPG
Power of Suggestion,Equipment,,,,"People trust your words over their own eyes.  You may make a Bluff check to make observers believe that an object in your possession is actually a different object entirely. The DC for the check is 20 for items of a similar size, shape, and color (such as a glaive and a quarterstaff). Items of a different shape, size, or color raise the DC by 5 for each dissimilar aspect, or more if the dissimilarity is extreme. This deception lasts 1 minute; if the item is still in view, the observers may recognize their error unless you make another bluff check.",Adventurer's Armory,PFRPG
Precocious Spellcaster ,Regional,,From Taldor,,"Before you even began your training as a spellcaster, you spent a great deal of time studying cantrips and simple spells on your own. Because of this, you developed some innate magical abilities without any outside guidance. Select one cantrip and one 1st-level spell; when you cast these spells, they function at one caster level higher than your actual caster level.",PCo:TEoG,3.5e
Prehensile Whip,Equipment,,,,"In your hand a whip has a life of its own, wrapping around pillars and beams with ease. You can use a whip as if it were a rope with a grappling hook at the end. Attaching your whip is a standard action, but detaching it is a full-round action.",Adventurer's Armory,PFRPG
Prismati Player,Regional,,From Andoran,,"You’ve grown up playing the confusing game of prismati and throw stones with accuracy and ease. You gain a +1 trait bonus on attack rolls with fistsized rocks or similarly shaped objects, and a +1 trait bonus on concentration checks.",PCo:ASoL,PFRPG
Proper Training,Faction,,,,"Your  time  at  the  Grand  Lodge  of Absalom has served you well. Choose either Knowledge (geography) or Knowledge (history). You gain a +1 trait bonus on all related checks, and the chosen skill is always a class skill for you.",PCo:GtPSOP,
Quick Learner,Equipment,,,,"You’re skilled at learning the feel of a particular weapon after a few swings in combat. After your first attack with a weapon in which you are not proficient, the non-proficiency penalty decreases by 2 (to a –2 penalty). This effect lasts only while you have the weapon in hand; you must “relearn” the weapon each time you pick it up.",Adventurer's Armory,PFRPG
Rapscallion ,Race,,Gnome (Taldor),,"You’ve spent your entire life thumbing your nose at the establishment and take pride in your run-ins with the law. Somehow, despite all the mischievous behavior in your life, you’ve never been caught. You gain a +1 trait bonus to Escape Artist checks and a +1 trait bonus to initiative checks.",PCo:TEoG,3.5e
Reactionary,Basic,,,,"You were bullied often as a child, but never quite developed an offensive response. Instead, you became adept at anticipating sudden attacks and reacting to danger quickly. You gain a +2 trait bonus to Initiative checks. ",P:CTWE,PFRPG
Reclaiming your Roots ,Campaign,,,,"Your interest in the village of Kelmarane is more personal than most of the others who are heading out to aid in the reclamation. You aren’t seeking revenge against gnolls, glory, money, or anything else—to you, this is purely a matter of honor, as Kelmarane is where you were born. Your were forced to flee the village when you were only a few years old, and you didn’t discoverer this until a few years ago—perhaps you found an old document that revealed the truth, or maybe you learned the news from a relative. Both of your parents are now dead, and from what you’ve been able to piece together, one of your parents actually died in the village when whatever happened there happened. Your surviving parent spirited you away to safety to grow up elsewhere, but never spoke of Kelmarane and always told you that your other parent died when you were a child in a horrific tragedy like a fire or a flood that swept away the body. Now that you’ve started to uncover the truth, you are convinced that your heritage remains hidden in Kelmarane. Whether you just wish to find out what really happened to your parent that died there or you want to rebuild the village in his or her honor is up to you—but Garavel’s caravan to the village is just the opportunity you’ve been waiting for. When your other parent died recently, among his or her effects was a single item that once belonged to the parent who died at Kelmarane. This item is your most valued possession—a piece of jewelry worth 350 gp, any masterwork weapon or armor worth no more than 350 gp, or a wand containing any 1st-level spell (CL 1st) with only 20 charges remaining. If you ever lose this item, your resulting depression imposes a –1 penalty on Will saves for 1 year.",PCo:LoFPG,3.5e
Researching the Blot,Campaign,,,,"You may or may not be seeking membership into Riddleport’s most prestigious magical guild, the Order of Cyphers, but you certainly have heard their call for aid in determining the nature of the strange shadow in the sky above Riddleport. You arrived in town several days ago and had some issues with security and safety at several inns before you finally settled on the Gold Goblin; you’ve been staying there as a guest for several days now, and the owner, Saul Vancaskerkin, seems like a nice guy. He’s even given you a pass to attend the gambling tournament he’s about to throw—you’re not sure how into gambling you’ll be, but perhaps there’ll be some visitors from out of town you can talk to about the strange shadow in the sky. At the very least, you’re hoping someone at the tourney will be into magic—there’s not really enough folk in this town who seem all that interested in magic, you’ve found. Your interest in magic dates back quite far, and as a result, you’ve developed a knack for identifying common magical items at a glance. You can use Spellcraft to identify magic items in the same way you can use Spellcraft to identify a potion. The DC to identify a magic item is equal to 20 + the item’s caster level.",PCo:SD,3.5e
Resigned,Religion,,Dwarf race (Droskar),,"Existence is little more than unending toil. By laboring unto exhaustion, greatness can be achieved. You receive a +1 trait bonus when retrying a previously failed skill check or ability check, as well as when taking 20 on skill checks and ability checks.",PCo:DoG,PFRPG
Resilient,Basic,,,,"Growing up in a violent neighborhood or in the unforgiving wilds often forced you to subsist on food and water from doubtful sources. You’ve built up your mettle as a result, and gain a +1 trait bonus on Fortitude saves. ",P:CTWE,PFRPG
Resilient,Basic,,,,"Growing up in a violent neighborhood or in the unforgiving wilds often forced you to subsist on food and water from doubtful sources. Youâ€™ve built up your mettle as a result, and gain a +1 trait bonus on Fortitude saves.",P:CTWE,
Rich Parents,Basic,,,No,"You were born into a rich family, perhaps even the nobility, and even though you turned to a life of adventure anyway, you enjoyed a one-time benefit to your initial finances and your starting cash increases to 900 gp.",P:CTWE,PFRPG
Rider of Paresh,Regional,,From Qadira,,"You call the Plains of Paresh home, whether you were born among the plains’ tribes or in the glittering towers of Katheer. The horses are your kin. When mounted and making a charge, your mount's speed is increased by 10 feet.  You must have the Mounted Combat feat to take this trait.",PCo:QttE,3.5e
River Rat ,Regional,,From Taldor,,"You learned to swim right after you learned to walk. As a youth, a gang of river pirates put you to work swimming in nighttime rivers and canals with a dagger in your teeth so you could sever the anchor ropes of merchant vessels. You gain a +1 trait bonus to damage dealt with a dagger and a +1 trait bonus to Swim checks. Swim is always a class skill for you.",PCo:TEoG,3.5e
Rostlander,Campaign,,,,"You were raised in the south of Brevoy, a land of dense forests and rolling plains, of crystalline rivers and endless sapphire skies. You come from hearty stock and were raised with simple sensibilities of hard work winning well-deserved gains, the importance of charity and compassion, and the value of personal and familial honor. Yours is the country of the Aldori swordlords and the heroes who refused to bend before the armies of a violent conqueror. You care little for matters of politics and nobles or of deception and schemes. As you are thoroughly Brevic, the call for champions willing to expand your land’s influence into the Stolen Lands has inflamed your sense of patriotism and honor, and so you have joined an expedition to quest southward. Your hardy nature grants you a +1 trait bonus on all Fortitude saves.",PAP:KMPG,PFRPG
Rough and Ready,Equipment,,,,"Your intense familiarity with the tools of your trade allows you to use them in combat as if they were actual weapons and makes them more effective for that purpose than they would normally be. When you use a tool of your trade (requiring at least 1 rank in the appropriate Craft or Profession skill) as a weapon, you do not take the improvised weapon penalty and instead receive a +1 trait bonus on your attack. This trait is commonly used with shovels, picks, blacksmith hammers, and other sturdy tools — lutes and brooms make terribly fragile weapons.",Adventurer's Armory,PFRPG
Ruthless,Race,,Dwarf race,,You never hesitate to strike a killing blow. You gain a +1 trait bonus on attack rolls to confirm critical hits.,PCo:DoG,PFRPG
Sacred Avenger ,Religion,,Follower of Calistria,,"You have a special connection between you and Calistria that enhances your ability to achieve vengeance. When a creature damages you with a weapon, on your next turn you gain a +1 trait bonus on weapon damage against that creature. If this creature is your ilduliel (see page 8), this bonus increases to +2.",PCo:EoG,3.5e
Sacred Conduit,Religion,,,,"Your birth was particularly painful and difficult for your mother, who needed potent divine magic to ensure you survived; your mother may or may not have survived. In any event, the magic infused you from an early age, and you now channel divine energy with greater ease than most. Whenever you channel energy, you gain a +1 trait bonus to the save DC of your channeled energy.",APG,PFRPG
Sacred Touch,Basic,,,,"You were exposed to a potent source of positive energy as a child, perhaps by being born under the right cosmic sign, or maybe because one of your parents was a gifted healer. As a standard action, you may automatically stabilize a dying creature merely by touching it.",P:CTWE,PFRPG
Savannah Child,Regional,,From Katapesh,,"You were born and raised in central Katapesh, among the rolling savannahs that dominate the nation’s interior. You spent many of your youth exploring these vast reaches, and know much of the savannah’s secrets. Pick one of the following skills: Handle Animal, Knowledge (nature), or Ride. You gain a +1 trait bonus on that skill, and it is always a class skill for you.",PCo:LoFPG,3.5e
Scholar of Ruins ,Race,,Human race (from Taldor),,"From the moment you could walk and talk, the ruins of Taldor fascinated you. You joined every expedition you could find, volunteered as a porter for the Pathfinder Society, and sometimes just set out on your own to explore as many of the Taldan ruins as you could. Because of this, you have special insight into the geography of Taldor as well as expertise at exploring lost places. You gain a +1 trait bonus to Knowledge (geography) and Knowledge (dungeoneering) checks. One of these skills (your choice) is always a class skill for you.",PCo:TEoG,3.5e
Scholar of the Great Beyond,Basic,,,,"Your great interests as a child did not lie with current events or the mundane— you have always felt out of place, as if you were born in the wrong era. You take to philosophical discussions of the Great Beyond and of historical events with ease. You gain a +1 trait bonus on Knowledge (history) and Knowledge (planes) checks, and one of these skills (your choice) is always a class skill for you.",P:CTWE,PFRPG
Scouting for Fiends,Campaign,,,,"You belong to an organization (most likely a religion) that has definite views on the menace posed by the lower planes. The willfulness with which the city of Korvosa (they even allow a temple of Asmodeus to operate in broad daylight!) tolerates infernal influences is, to you and your organization, the greatest symbol of what’s wrong with civilization today. And now, in Riddleport, there’s news that a gambling tournament is using devils and Hell as an idle decoration. It’s likely that this is just an example of poor taste, but there’s a chance that something sinister may be lurking beneath the goings-on at the Gold Goblin. You have been contacted by your organization (or may have decided on your own) to travel to Riddleport (if you don’t already live there) and attend this tournament under the guise of a patron. Keep an eye on things there, even after the tournament is over; if you can, get a job working for the owner. Demons and devils can be subtle, and it could take weeks or even months to find proof of their involvement. You gain a +1 trait bonus on all attack rolls made against foes you know to be evil outsiders.",PCo:SD,3.5e
Secrets of the Sphinx,Faction,,,,"Your ancestors paid the proper obeisance  to  Nethys,  who  granted  their  heirs  special divinatory gifts. Once per day, you may gain a +2 trait bonus on any single Knowledge skill check. Additionally, choose one Knowledge skill—this skill becomes a class skill for you.",PCo:GtPSOP,
Seeker of Brightness ,Race,,Elf,,You have been actively searching for signs of the Brightness since childhood. Choose a Knowledge skill; you gain a +1 trait bonus on Knowledge checks of that type and on Search checks.,PCo:EoG,3.5e
Seeking Adventure ,Campaign,,,,"The Pathfinder Society has long intrigued you—tales of the exotic lands and strange discoveries made by Pathfinders have enchanted your dreams and fired your imagination since childhood. When Pathfinders came through your village or neighborhood, they immediately enthralled you with their stories and knowledge. Yet at the time, you were far too young to join them, and when they left for adventure you had to stay behind. Now that you are of age, you’ve traveled to Absalom to apply for membership. The application process went well, and you’re now a full member. Your first assignment is to accompany Garavel’s group to Kelmarane—the Pathfinder Society has heard rumors of several ancient structures in the area, including a ruined monastery once dedicated to Sarenrae, and would like to learn more about them. Even more pressing is the mystery of what brought about Kelmarane’s ruin in the first place—reports of which are vague at best. If you can determine the cause of the village’s abandonment so many years ago, you’re sure the Society would be impressed. You begin the game with your own wayfinder, a loan from your venture-captain. You’ve promised to pay your venture-captain 500 gp for the wayfinder some day, but for now it’s yours to use. A wayfinder is a magical compass that grants you a +2 circumstance bonus on Survival checks to avoid becoming lost, and can be commanded to emit light as the spell (CL 5th) as a standard action.",PCo:LoFPG,3.5e
Shadow Child ,Campaign,,,,"Westcrown has long suffered under a peculiar curse, a blight that rises every night, bringing with it fell beasts that hunt the shadows. No one can say from whence these night-horrors come—though some blame the mysterious wizards of Nidal, other claim that it’s some curse laid by fallen Aroden, while still others suggest some shadowy mastermind manipulates an ebon brood from the depths of Westcrown’s northern ruins. Whatever the case, the people of Westcrown have long feared the night, but not you. You’re goal is to reclaim the darkness from the beasts that hide within. You’ve acclimated yourself to the dark, and thus act with greater precision in the shadow than most. When attacking targets in areas of dim light, you do not suffer the standard 20% miss chance on attack rolls for being in the poorly lit area.",PAP:CoTPG,PFRPG
Shadow Diplomat,Faction,,,,"Balancing the political infighting of the Society’s factions has granted you a +1 trait bonus on  Diplomacy  checks,  and  Diplomacy  becomes  a  class skill for you.",PCo:GtPSOP,
Shiv,Faction,,,, Sometimes  smooth  talking  just  doesn’t  work. You gain a +1 trait bonus on damage rolls made with one-handed piercing or slashing weapons in a surprise round.,PCo:GtPSOP,
Skeptic,Basic,,,,"Growing up, you were always around magical effects to the extent that you realized that much of it was smoke and mirrors. You gain a +2 trait bonus on all saving throws against illusions.",P:CTWE,PFRPG
Soul-Drinker,Faction,,,,"There is a dark hunger in you that rejoices when you or your allies slay a foe. Once per day as a swift action, you may gain a number of temporary hit points equal to the Hit Dice of your most recent enemy slain. This is a supernatural ability. These temporary hit points last for 1 minute.",PCo:GtPSOP,
Sovyrian Pantheist ,Religion,,Follower of any Elven Deity,,"Strongly influenced by the elves’ mysterious other realm, you embrace obscure elven deities that have little influence on Golarion. You gain a +1 trait bonus on Knowledge (history) checks to recognize or evaluate art, Knowledge (architecture and engineering) checks, Survival checks to hunt game, Constitution checks to run, and Spellcraft checks involving crystals or gems.",PCo:EoG,3.5e
Spirits in the Stone,Race,,Human race (Mwangi),,"You have an almost instinctive ability to sense danger and peril in ruined structures. Whenever you’re in ruins, you gain a +2 trait bonus on Initiative checks and a +1 trait bonus on saving throws against traps and natural hazards.",PCo:LoFPG,3.5e
Sprint,Race,,,Yes,"You were taught from a young age that the world is full of big, fast, dangerous foes, and that sometimes the best course of action is to put your head down and run. Your parents taught you how to make the most of a solid mid-length sprint and how to squeeze just a little extra speed out of yourself. If you do nothing but move in a turn (that is, if you run or use both of your actions in a round to move your speed) and you are in no armor or light armor, you may move an extra 5 feet.",PCo:GoG,
Stage Magic,Equipment,,,,"You have put in many hours practicing with flashy alchemical items that enhance your performances. When you use an attention-getting alchemical item such as a flask of alchemist’s fire, smokestick, thunderstone, or another appropriate alchemical item (GM’s discretion) as part of a performance, you gain a +2 trait bonus on your Perform check for the duration of that performance. The item is expended without its normal effects and only serves to make your performance more impressive; for example, you could pretend to ignite yourself with alchemist’s fire as part of a Perform (comedy) check or make a dramatic appearance with a smokestick as part of a Perform (act) check, but you would not actually take fire damage or gain concealment from smoke.",Adventurer's Armory,PFRPG
Starchild ,Religion,,Follower of Desna,,The Song of the Spheres sensed your love of travel and promised you would always be able to find your way home. You can automatically determine where true north is. You gain a +4 trait bonus on Survival checks to avoid becoming lost.,PCo:EoG,3.5e
Stealthy Escape,Equipment,,,,"You are adept at escaping from confinement in an unobtrusive manner. When trying to escape manacles, rope, or other similar restraints (but not grapples or similar attacks), you may make a Sleight of Hand check instead of your Escape Artist modifier. If you free yourself, you gain a +2 trait bonus on Bluff checks to pretend that you are still bound.",Adventurer's Armory,PFRPG
Storyteller,Faction,,,,"The long travels between the Inner Sea and Tian Xia have exposed you to a wide variety of campfire tales.  Once  per  scenario,  you  can  make  a  Knowledge skill check with a trait bonus equal to your Intelligence modifier plus 3 (minimum +1). You can make this check even if you do not have ranks in the required Knowledge skill.",PCo:GtPSOP,
Strength of the Land,Magic,,Dwarf race,,You are able to tap into the living energy of the world to shatter lesser magic. You gain a +1 trait bonus on caster level checks while touching the ground or unworked stone. This includes dispel checks and checks to overcome spell resistance. ,PCo:DoG,PFRPG
Strength of the Sun,Religion,,Follower of Sarenrae,,"You take solace in the purifying light of the sun. During the day, you gain a +1 trait bonus on all Charisma-based checks.",PCo:LoFPG,3.5e
"Strong Arm, Supple Wrist",Basic,,,,"You have been trained in the javelin and the spear, and know how to make the best use of your momentum. Whenever you move at least 10 feet before making an attack with a thrown weapon, you add 10 feet to the range increment of the weapon thrown. You can only gain this benefit once per round.",PCo:QttE,3.5e
Successful Shirker,Race,,Halfling race,,"Born and raised a slave with no hope of advancement, you are adept at avoiding your overseer's ire and attention, the better to spend time on your own interests. You gain a +1 trait bonus on Stealth checks and a +3 trait bonus on Bluff and Diplomacy checks to avoid punishment by lawful authority.",PCo:CEoD,PFRPG
Suspicious,Basic,,,,"You discovered at an early age that someone you trusted, perhaps an older sibling or a parent, had lied to you, and often, about something you had taken for granted, leaving you quick to question the claims of others. You gain a +1 trait bonus on Sense Motive checks, and Sense Motive is always a class skill for you.",P:CTWE,PFRPG
Sword Scion,Campaign,,,,"You have lived all your life in and around the city of Restov, growing up on tales of Baron Sirian Aldori and the exploits of your home city’s heroic and legendary swordlords. Perhaps one of your family members was an Aldori swordlord, you have a contact among their members, or you have dreamed since childhood of joining. Regardless, you idolize the heroes, styles, and philosophies of the Aldori and have sought to mimic their vaunted art. Before you can petition to join their ranks, however, you feel that you must test your mettle. Joining an expedition into the Stolen Lands seems like a perfect way to improve your skills and begin a legend comparable to that of Baron Aldori. You begin play with a longsword or Aldori dueling sword and gain a +1 trait bonus on all attacks and combat maneuvers made with such weapons.",PAP:KMPG,PFRPG
Teaching Mistake,Faction,,,,"You  know  the  consequences  of failure and strive never to make the same mistake twice. Once per scenario, when you roll a natural 1 on any saving throw,  you  gain  a  +1  trait  bonus  on  your  next  saving throw, used before the end of the scenario.",PCo:GtPSOP,
The City Protects,Religion,,Follower of Abadar,,"You feel safe and secure in urban environments, even in cities whose laws you find unjust—it is the physical fact of the city that you take solace in. In any settlement, you gain a +2 trait bonus against fear effects. If you fail a save against a fear effect, you may make a new save each round you remain in the city to overcome the fear effect as long as the fear effect persists. If you are a paladin, this ability to make additional saves to overcome fear extends to all allies within your aura of courage.",PCo:LoFPG,3.5e
The Pathfinder’s Exile ,Campaign,,,,"Westcrown’s dilapidated Pathfinder lodge of Delvehaven has long excited your imagination. Forcibly closed by the order of the city’s diabolical rulers, the Pathfinders of Westcrown were exiled, forcing them to leave behind untold knowledge and the treasures of countless expeditions. Today, Delvehaven lies under the pale of fearful rumors and dark magic, and bureaucratic red tape has prevented trespass on the lodge’s well-protected grounds. Having secretly and illegally contacted agents of the Pathfinders, you’ve expressed your interest in aiding their ventures in Cheliax—with a particular eye toward investigating Delvehaven, the source of your long-standing adventuresome interests. To your surprise, some days ago you received a message back from an unnamed Pathfinder operating underground in the country. Along with encouraging you to investigate the lodge and report your findings to the Grand Lodge in Absalom, he’s sent along a battered and tarnished, yet still functional wayfinder. You’ve promised yourself to pay back your unknown contact the 500 gp cost of the item someday, but until then, it’s yours to use. A wayfinder is a magical compass that grants you a +2 circumstance bonus on Survival checks to avoid becoming lost, and can be commanded to emit light as the spell (CL 5th) as a standard action. Further details on the Pathfinder Society and wayfinders can be found in the Pathfinder Campaign Setting or Pathfinder Chronicles: Seekers of Secrets.",PAP:CoTPG,PFRPG
